Wav (nm)	CalR)	Wav (nm)	MeasuredR	Torg (nm)	Tmir (nm)	
Wavelength (nm) - Plot 0	Reflectance - Plot 0	Wavelength (nm) - ÇúÏß 1	Reflectance - ÇúÏß 1	
		619.36	0.97	
		619.70	0.97	
		620.03	0.97	
		620.37	0.97	
		620.71	0.97	
		621.05	0.97	
		621.38	0.97	
		621.72	0.97	
		622.06	0.97	
		622.40	0.97	
		622.73	0.97	
		623.07	0.97	
		623.41	0.97	
		623.75	0.97	
		624.08	0.97	
		624.42	0.97	
		624.76	0.97	
		625.09	0.97	
		625.43	0.97	
		625.77	0.97	
		626.10	0.97	
		626.44	0.97	
		626.78	0.97	
		627.11	0.97	
		627.45	0.97	
		627.79	0.97	
		628.12	0.97	
		628.46	0.97	
		628.80	0.97	
		629.13	0.97	
		629.47	0.97	
		629.81	0.97	
		630.14	0.97	
		630.48	0.97	
		630.81	0.97	
		631.15	0.97	
		631.49	0.97	
		631.82	0.97	
		632.16	0.97	
		632.49	0.97	
		632.83	0.97	
		633.17	0.97	
		633.50	0.97	
		633.84	0.97	
		634.17	0.97	
		634.51	0.97	
		634.84	0.97	
		635.18	0.97	
		635.52	0.97	
		635.85	0.97	
		636.19	0.97	
		636.52	0.97	
		636.86	0.96	
		637.19	0.97	
		637.53	0.97	
		637.86	0.97	
		638.20	0.97	
		638.53	0.97	
		638.87	0.97	
		639.20	0.97	
		639.54	0.97	
		639.87	0.97	
		640.21	0.97	
		640.54	0.97	
		640.88	0.97	
		641.21	0.97	
		641.55	0.97	
		641.88	0.97	
		642.22	0.97	
		642.55	0.97	
		642.89	0.97	
		643.22	0.97	
		643.56	0.96	
		643.89	0.97	
		644.22	0.97	
		644.56	0.97	
		644.89	0.97	
		645.23	0.96	
		645.56	0.97	
		645.90	0.97	
		646.23	0.97	
		646.56	0.97	
		646.90	0.97	
		647.23	0.97	
		647.57	0.97	
		647.90	0.97	
		648.23	0.97	
		648.57	0.97	
		648.90	0.97	
		649.23	0.97	
		649.57	0.97	
		649.90	0.97	
		650.24	0.97	
		650.57	0.96	
		650.90	0.97	
		651.24	0.97	
		651.57	0.97	
		651.90	0.97	
		652.24	0.97	
		652.57	0.97	
		652.90	0.97	
		653.23	0.97	
		653.57	0.97	
		653.90	0.97	
		654.23	0.97	
		654.57	0.97	
		654.90	0.98	
		655.23	0.98	
		655.57	1.00	
		655.90	0.99	
		656.23	0.98	
		656.56	0.98	
		656.90	0.97	
		657.23	0.98	
		657.56	0.97	
		657.89	0.98	
		658.23	0.97	
		658.56	0.97	
		658.89	0.97	
		659.22	0.97	
		659.56	0.96	
		659.89	0.97	
		660.22	0.97	
		660.55	0.97	
		660.88	0.96	
		661.22	0.97	
		661.55	0.97	
		661.88	0.97	
		662.21	0.96	
		662.54	0.96	
		662.88	0.97	
		663.21	0.97	
		663.54	0.96	
		663.87	0.96	
		664.20	0.97	
		664.53	0.96	
		664.87	0.97	
		665.20	0.96	
		665.53	0.97	
		665.86	0.96	
		666.19	0.96	
		666.52	0.96	
		666.85	0.96	
		667.19	0.96	
		667.52	0.97	
		667.85	0.96	
		668.18	0.96	
		668.51	0.96	
		668.84	0.96	
		669.17	0.96	
		669.50	0.96	
		669.83	0.97	
		670.16	0.96	
		670.49	0.96	
		670.83	0.97	
		671.16	0.97	
		671.49	0.96	
		671.82	0.97	
		672.15	0.97	
		672.48	0.97	
		672.81	0.97	
		673.14	0.97	
		673.47	0.97	
		673.80	0.96	
		674.13	0.97	
		674.46	0.97	
		674.79	0.97	
		675.12	0.96	
		675.45	0.97	
		675.78	0.96	
		676.11	0.96	
		676.44	0.96	
		676.77	0.96	
		677.10	0.96	
		677.43	0.97	
		677.76	0.96	
		678.09	0.97	
		678.42	0.96	
		678.75	0.96	
		679.08	0.97	
		679.41	0.96	
		679.74	0.96	
		680.07	0.96	
		680.40	0.96	
		680.73	0.96	
		681.05	0.97	
		681.38	0.96	
		681.71	0.96	
		682.04	0.96	
		682.37	0.96	
		682.70	0.96	
		683.03	0.96	
		683.36	0.96	
		683.69	0.96	
		684.02	0.96	
		684.34	0.96	
		684.67	0.95	
		685.00	0.96	
		685.33	0.96	
		685.66	0.96	
		685.99	0.96	
		686.32	0.96	
		686.64	0.95	
		686.97	0.97	
		687.30	0.96	
		687.63	0.96	
		687.96	0.95	
		688.29	0.96	
		688.61	0.96	
		688.94	0.96	
		689.27	0.96	
		689.60	0.95	
		689.93	0.96	
		690.25	0.96	
		690.58	0.96	
		690.91	0.96	
		691.24	0.96	
		691.57	0.96	
		691.89	0.96	
		692.22	0.96	
		692.55	0.96	
		692.88	0.95	
		693.20	0.96	
		693.53	0.96	
		693.86	0.95	
		694.19	0.95	
		694.51	0.96	
		694.84	0.95	
		695.17	0.97	
		695.50	0.95	
		695.82	0.96	
		696.15	0.95	
		696.48	0.95	
		696.80	0.95	
		697.13	0.95	
		697.46	0.95	
		697.78	0.95	
		698.11	0.95	
		698.44	0.96	
		698.76	0.96	
		699.09	0.95	
		699.42	0.96	
		699.74	0.95	
		700.07	0.95	
		700.40	0.95	
		700.72	0.95	
		701.05	0.95	
		701.38	0.96	
		701.70	0.95	
		702.03	0.95	
		702.36	0.96	
		702.68	0.95	
		703.01	0.94	
		703.33	0.96	
		703.66	0.96	
		703.99	0.95	
		704.31	0.95	
		704.64	0.96	
		704.96	0.95	
		705.29	0.94	
		705.61	0.95	
		705.94	0.95	
		706.27	0.96	
		706.59	0.95	
		706.92	0.96	
		707.24	0.96	
		707.57	0.95	
		707.89	0.96	
		708.22	0.95	
		708.54	0.95	
		708.87	0.95	
		709.19	0.95	
		709.52	0.95	
		709.85	0.95	
		710.17	0.95	
		710.50	0.94	
		710.82	0.96	
		711.15	0.95	
		711.47	0.95	
		711.79	0.95	
		712.12	0.95	
		712.44	0.95	
		712.77	0.95	
		713.09	0.94	
		713.42	0.95	
		713.74	0.94	
		714.07	0.94	
		714.39	0.95	
		714.72	0.95	
		715.04	0.94	
		715.36	0.95	
		715.69	0.96	
		716.01	0.95	
		716.34	0.95	
		716.66	0.95	
		716.99	0.95	
		717.31	0.95	
		717.63	0.95	
		717.96	0.96	
		718.28	0.94	
		718.60	0.94	
		718.93	0.93	
		719.25	0.94	
		719.58	0.95	
		719.90	0.96	
		720.22	0.94	
		720.55	0.95	
		720.87	0.95	
		721.19	0.95	
		721.52	0.94	
		721.84	0.95	
		722.16	0.94	
		722.49	0.94	
		722.81	0.95	
		723.13	0.93	
		723.46	0.95	
		723.78	0.93	
		724.10	0.95	
		724.43	0.94	
		724.75	0.93	
		725.07	0.95	
		725.39	0.94	
		725.72	0.94	
		726.04	0.94	
		726.36	0.94	
		726.68	0.94	
		727.01	0.94	
		727.33	0.94	
		727.65	0.95	
		727.97	0.94	
		728.30	0.94	
		728.62	0.94	
		728.94	0.94	
		729.26	0.94	
		729.59	0.94	
		729.91	0.94	
		730.23	0.94	
		730.55	0.95	
		730.87	0.94	
		731.20	0.94	
		731.52	0.94	
		731.84	0.95	
		732.16	0.95	
		732.48	0.95	
		732.81	0.94	
		733.13	0.94	
		733.45	0.95	
		733.77	0.94	
		734.09	0.94	
		734.41	0.94	
		734.73	0.95	
		735.06	0.94	
		735.38	0.95	
		735.70	0.94	
		736.02	0.94	
		736.34	0.95	
		736.66	0.95	
		736.98	0.95	
		737.30	0.95	
		737.62	0.94	
		737.95	0.95	
		738.27	0.95	
		738.59	0.95	
		738.91	0.96	
		739.23	0.95	
		739.55	0.94	
		739.87	0.95	
		740.19	0.94	
		740.51	0.95	
		740.83	0.94	
		741.15	0.94	
		741.47	0.95	
		741.79	0.94	
		742.11	0.95	
		742.43	0.94	
		742.75	0.94	
		743.07	0.95	
		743.39	0.95	
		743.71	0.94	
		744.03	0.94	
		744.35	0.95	
		744.67	0.95	
		744.99	0.95	
		745.31	0.94	
		745.63	0.95	
		745.95	0.95	
		746.27	0.95	
		746.59	0.95	
		746.91	0.94	
		747.23	0.95	
		747.55	0.96	
		747.87	0.96	
		748.19	0.94	
		748.51	0.95	
		748.83	0.94	
		749.15	0.95	
		749.47	0.94	
		749.79	0.94	
		750.10	0.94	
		750.42	0.95	
		750.74	0.94	
		751.06	0.94	
		751.38	0.94	
		751.70	0.95	
		752.02	0.94	
		752.34	0.95	
		752.66	0.94	
		752.97	0.95	
		753.29	0.95	
		753.61	0.95	
		753.93	0.96	
		754.25	0.95	
		754.57	0.95	
		754.88	0.94	
		755.20	0.95	
		755.52	0.96	
		755.84	0.96	
		756.16	0.95	
		756.48	0.95	
		756.79	0.96	
		757.11	0.94	
		757.43	0.92	
		757.75	0.94	
		758.06	0.95	
		758.38	0.94	
		758.70	0.95	
		759.02	0.95	
		759.34	0.94	
		759.65	0.95	
		759.97	0.94	
		760.29	0.95	
		760.61	0.95	
		760.92	0.95	
		761.24	0.94	
		761.56	0.95	
		761.88	0.96	
		762.19	0.94	
		762.51	0.95	
		762.83	0.95	
		763.14	0.97	
		763.46	0.94	
		763.78	0.94	
		764.09	0.94	
		764.41	0.95	
		764.73	0.95	
		765.04	0.95	
		765.36	0.95	
		765.68	0.96	
		765.99	0.95	
		766.31	0.95	
		766.63	0.96	
		766.94	0.96	
		767.26	0.95	
		767.58	0.94	
		767.89	0.94	
		768.21	0.95	
		768.53	0.95	
		768.84	0.94	
		769.16	0.94	
		769.47	0.94	
		769.79	0.94	
		770.11	0.94	
		770.42	0.96	
		770.74	0.95	
		771.05	0.94	
		771.37	0.95	
		771.68	0.94	
		772.00	0.95	
		772.32	0.94	
